Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
South Central,Kyotera District,21.0,13.0,34.0,18502.0,15969.0,34471.0,22928.0,14833.0,37761.0,10932.0,9804.0,20736.0,8884.0,8559.0,17443.0,21.0,13.0,34.0,18502.0,15969.0,34471.0,22928.0,14833.0,37761.0,8884.0,8559.0,17443.0,10932.0,9804.0,20736.0,110445.0,21.0,13.0,34.0,18502.0,15969.0,34471.0,22928.0,14833.0,37761.0,8884.0,8559.0,17443.0,10932.0,9804.0,20736.0,340.0,1042.0,1382.0,52383.0,49178.0,101561.0,8905.0,8572.0,17477.0,1723.0,260756.3978,151.3385942,0.6359,31.5456,2020,423.55624226988766,151.33859419616948
Acholi,Lamwo District,16.0,20.0,36.0,58962.0,41452.0,100414.0,38295.0,13266.0,51561.0,26623.0,22891.0,49514.0,27089.0,26321.0,53410.0,14.0,20.0,34.0,58514.0,41213.0,99727.0,37627.0,12941.0,50568.0,26817.0,26060.0,52877.0,26570.0,22721.0,49291.0,252497.0,14.0,20.0,34.0,58452.0,41171.0,99623.0,37585.0,12909.0,50494.0,26783.0,26033.0,52816.0,26542.0,22687.0,49229.0,877.0,2344.0,3221.0,123896.0,103950.0,227846.0,27105.0,26341.0,53446.0,5588.0,177231.4362,31.71643454,3.491,32.808,2020,1424.673892023677,31.716434538296348
Lango,Lango,264.0,241.0,505.0,190912.0,90982.0,281894.0,232934.0,89701.0,322635.0,89907.0,67516.0,157423.0,109198.0,99636.0,208834.0,235.0,212.0,447.0,188434.0,88949.0,277383.0,220525.0,86475.0,307000.0,105694.0,96547.0,202241.0,88078.0,66005.0,154083.0,941154.0,229.0,208.0,437.0,183146.0,86926.0,270072.0,216124.0,84703.0,300827.0,102821.0,94427.0,197248.0,86198.0,64419.0,150617.0,11761.0,23758.0,35519.0,514017.0,348076.0,862093.0,109462.0,99877.0,209339.0,12856.0,2340005.074,182.0165739,0.0,0.0,2020,402.20169197804057,182.01657389545738
Lango,Lira City,33.0,33.0,66.0,7564.0,4105.0,11669.0,14559.0,6735.0,21294.0,4177.0,3387.0,7564.0,7116.0,6131.0,13247.0,18.0,23.0,41.0,7095.0,3769.0,10864.0,13088.0,6042.0,19130.0,5771.0,5626.0,11397.0,3853.0,3041.0,6894.0,48326.0,19.0,25.0,44.0,7769.0,3652.0,11421.0,12654.0,5806.0,18460.0,5412.0,5370.0,10782.0,3740.0,2879.0,6619.0,337.0,1203.0,1540.0,26333.0,20391.0,46724.0,7149.0,6164.0,13313.0,285.0,229314.8477,804.6135008,2.2596,32.8903,2020,210.74082417559913,804.6135007017544
Lango,Lira District,22.0,15.0,37.0,14771.0,6780.0,21551.0,21581.0,7714.0,29295.0,7214.0,5225.0,12439.0,9892.0,8756.0,18648.0,23.0,15.0,38.0,13468.0,6307.0,19775.0,18314.0,6793.0,25107.0,9120.0,8136.0,17256.0,6921.0,4966.0,11887.0,74063.0,20.0,15.0,35.0,12556.0,6021.0,18577.0,17272.0,6374.0,23646.0,8720.0,7798.0,16518.0,6626.0,4706.0,11332.0,354.0,881.0,1235.0,43588.0,28490.0,72078.0,9914.0,8771.0,18685.0,1046.0,224605.4506,214.7279642,2.2316,32.9438,2020,329.74711790008536,214.72796424474188
Busoga,Luuka District,73.0,45.0,118.0,27949.0,13899.0,41848.0,44769.0,18314.0,63083.0,20088.0,13877.0,33965.0,31004.0,25721.0,56725.0,72.0,41.0,113.0,26805.0,13264.0,40069.0,42635.0,17504.0,60139.0,29599.0,24582.0,54181.0,19215.0,13258.0,32473.0,186975.0,83.0,42.0,125.0,26922.0,13423.0,40345.0,42982.0,17638.0,60620.0,29967.0,24804.0,54771.0,19187.0,13342.0,32529.0,1769.0,4201.0,5970.0,92879.0,71856.0,164735.0,31077.0,25766.0,56843.0,650.0,272730.2396,419.5849839,0.7251,33.3037,2020,685.5675420306419,419.58498399999996
North Central,Luwero District,83.0,59.0,142.0,30912.0,26298.0,57210.0,36602.0,24039.0,60641.0,20920.0,19069.0,39989.0,18300.0,17698.0,35998.0,37.0,43.0,80.0,28534.0,27751.0,56285.0,32307.0,21454.0,53761.0,16620.0,16056.0,32676.0,19507.0,17729.0,37236.0,180038.0,38.0,43.0,81.0,28661.0,24573.0,53234.0,32249.0,21673.0,53922.0,16662.0,16064.0,32726.0,19601.0,17827.0,37428.0,1347.0,2602.0,3949.0,88517.0,87163.0,175680.0,18383.0,17757.0,36140.0,2216.0,546765.7355,246.7354402,0.8271,0.0,2020,329.27813195053443,246.7354402075812
South Central,Lwengo District,60.0,47.0,107.0,11757.0,8815.0,20572.0,15692.0,8036.0,23728.0,6291.0,5503.0,11794.0,6176.0,6169.0,12345.0,39.0,32.0,71.0,10610.0,8321.0,18931.0,11117.0,6585.0,17702.0,5263.0,4962.0,10225.0,5960.0,5188.0,11148.0,58077.0,39.0,33.0,72.0,10569.0,8309.0,18878.0,11045.0,6554.0,17599.0,5256.0,4948.0,10204.0,5928.0,5178.0,11106.0,207.0,622.0,829.0,33800.0,28570.0,62370.0,6236.0,6216.0,12452.0,988.0,298580.4256,302.2069085,0.4165,31.3999,2020,194.5104066460276,302.2069085020243
South Central,Lyantonde District,1.0,3.0,4.0,4770.0,4289.0,9059.0,7017.0,5013.0,12030.0,2876.0,2519.0,5395.0,2067.0,1971.0,4038.0,1.0,2.0,3.0,4705.0,4251.0,8956.0,6897.0,4933.0,11830.0,2031.0,1951.0,3982.0,2843.0,2495.0,5338.0,30109.0,1.0,1.0,2.0,4355.0,3980.0,8335.0,6448.0,4603.0,11051.0,1849.0,1814.0,3663.0,2639.0,2292.0,4931.0,100.0,249.0,349.0,14664.0,13795.0,28459.0,2068.0,1974.0,4042.0,887.0,115648.0618,130.3811294,0.2241,31.2168,2020,260.3502344213087,130.38112942502818
West Nile,Madi-Okollo District,19.0,22.0,41.0,27750.0,19415.0,47165.0,27913.0,10216.0,38129.0,16191.0,12844.0,29035.0,18405.0,18467.0,36872.0,17.0,20.0,37.0,27076.0,18939.0,46015.0,26959.0,9850.0,36809.0,18094.0,17974.0,36068.0,15924.0,12708.0,28632.0,147561.0,17.0,20.0,37.0,26694.0,18621.0,45315.0,26799.0,9811.0,36610.0,18019.0,17906.0,35925.0,15749.0,12583.0,28332.0,863.0,2801.0,3664.0,71873.0,60964.0,132837.0,18424.0,18489.0,36913.0,2048.0,161812.097,79.00981301,2.8218,31.2168,2020,911.9281112832991,79.00981298828125
Bugisu,Manafwa District,8.0,8.0,16.0,9580.0,6076.0,15656.0,14563.0,8241.0,22804.0,5130.0,4330.0,9460.0,8036.0,6766.0,14802.0,8.0,7.0,15.0,8682.0,5634.0,14316.0,12928.0,6982.0,19910.0,7350.0,6217.0,13567.0,4651.0,3929.0,8580.0,56388.0,8.0,7.0,15.0,9040.0,5835.0,14875.0,13617.0,7729.0,21346.0,7532.0,6405.0,13937.0,4940.0,4172.0,9112.0,454.0,670.0,1124.0,29281.0,25421.0,54702.0,8044.0,6774.0,14818.0,237.0,170960.9327,721.3541462,0.0,0.0,2020,329.8297401017864,721.3541464135021
West Nile,Maracha District,28.0,17.0,45.0,30315.0,15863.0,46178.0,30562.0,10089.0,40651.0,17158.0,12379.0,29537.0,15626.0,14209.0,29835.0,29.0,18.0,47.0,30007.0,15673.0,45680.0,29659.0,9557.0,39216.0,15444.0,13939.0,29383.0,16999.0,12273.0,29272.0,143598.0,28.0,17.0,45.0,29525.0,15255.0,44780.0,29130.0,9455.0,38585.0,15039.0,13555.0,28594.0,16669.0,12017.0,28686.0,1326.0,2759.0,4085.0,78063.0,52557.0,130620.0,15654.0,14226.0,29880.0,440.0,213920.0348,486.1818973,3.2873,30.9403,2020,671.2695243073138,486.18189727272727
South Central,Masaka City,7.0,6.0,13.0,3197.0,2987.0,6184.0,6094.0,4501.0,10595.0,1835.0,1724.0,3559.0,2003.0,1951.0,3954.0,7.0,5.0,12.0,3061.0,2883.0,5944.0,5735.0,4248.0,9983.0,1855.0,1810.0,3665.0,1735.0,1625.0,3360.0,22964.0,7.0,4.0,11.0,3087.0,2880.0,5967.0,5769.0,4243.0,10012.0,1825.0,1795.0,3620.0,1713.0,1606.0,3319.0,175.0,462.0,637.0,11133.0,11169.0,22302.0,2010.0,1957.0,3967.0,340.0,257842.4158,758.3600464,0.3427,31.7369,2020,89.06215033996746,758.3600464705881
South Central,Masaka District,4.0,3.0,7.0,3153.0,2959.0,6112.0,4709.0,3350.0,8059.0,1774.0,1584.0,3358.0,1364.0,1311.0,2675.0,4.0,3.0,7.0,3124.0,2939.0,6063.0,4641.0,3302.0,7943.0,1339.0,1289.0,2628.0,1762.0,1572.0,3334.0,19975.0,4.0,3.0,7.0,3041.0,2833.0,5874.0,4541.0,3262.0,7803.0,1321.0,1263.0,2584.0,1731.0,1545.0,3276.0,107.0,303.0,410.0,9640.0,9207.0,18847.0,1368.0,1314.0,2682.0,855.0,111838.9019,130.8057332,0.4464,31.9018,2020,178.60511557830307,130.80573321637428
Bunyoro,Masindi District,36.0,14.0,50.0,13642.0,9624.0,23266.0,20226.0,13833.0,34059.0,8900.0,7398.0,16298.0,10395.0,9495.0,19890.0,36.0,14.0,50.0,12796.0,9121.0,21917.0,18566.0,12571.0,31137.0,9782.0,8975.0,18757.0,8334.0,7071.0,15405.0,87266.0,36.0,14.0,50.0,12616.0,8947.0,21563.0,18616.0,12809.0,31425.0,9664.0,8903.0,18567.0,8271.0,6901.0,15172.0,310.0,930.0,1240.0,42804.0,40364.0,83168.0,10431.0,9509.0,19940.0,3891.0,321013.779,82.50161373,1.6873,31.7138,2020,271.84502880793787,82.50161372397841
Busoga,Mayuge District,42.0,18.0,60.0,31694.0,16826.0,48520.0,59180.0,27771.0,86951.0,20290.0,15504.0,35794.0,29025.0,25738.0,54763.0,42.0,18.0,60.0,31330.0,16598.0,47928.0,57940.0,27249.0,85189.0,28651.0,25370.0,54021.0,20134.0,15332.0,35466.0,222664.0,41.0,16.0,57.0,31133.0,16499.0,47632.0,57528.0,27067.0,84595.0,28481.0,25240.0,53721.0,20027.0,15246.0,35273.0,2305.0,4802.0,7107.0,111206.0,85857.0,197063.0,29067.0,25756.0,54823.0,1075.0,533324.8616,496.1161503,0.3125,33.528,2020,417.5016318046704,496.1161503255814
Bugisu,Mbale City,14.0,10.0,24.0,9419.0,5741.0,15160.0,20209.0,9931.0,30140.0,5233.0,4301.0,9534.0,7241.0,6651.0,13892.0,13.0,9.0,22.0,9268.0,5602.0,14870.0,19766.0,9627.0,29393.0,7089.0,6484.0,13573.0,5128.0,4224.0,9352.0,67210.0,13.0,9.0,22.0,9259.0,5597.0,14856.0,19759.0,9618.0,29377.0,7075.0,6474.0,13549.0,5122.0,4206.0,9328.0,574.0,1148.0,1722.0,34875.0,26634.0,61509.0,7255.0,6661.0,13916.0,156.0,280650.3991,1799.04102,1.0871,34.1781,2020,239.47943853111022,1799.0410198717948
Bugisu,Mbale District,11.0,9.0,20.0,13834.0,8310.0,22144.0,21691.0,9568.0,31259.0,7775.0,6119.0,13894.0,11468.0,10586.0,22054.0,11.0,9.0,20.0,13785.0,8275.0,22060.0,21497.0,9504.0,31001.0,11386.0,9825.0,21211.0,7752.0,6081.0,13833.0,88125.0,11.0,9.0,20.0,13678.0,8201.0,21879.0,21270.0,9423.0,30693.0,11308.0,9752.0,21060.0,7681.0,6022.0,13703.0,673.0,1294.0,1967.0,43311.0,34592.0,77903.0,11479.0,10595.0,22074.0,360.0,260956.3489,724.8787469,1.0344,34.1977,2020,337.700157024231,724.8787469444445
Ankole,Mbarara City,3.0,6.0,9.0,1173.0,1107.0,2280.0,2876.0,2685.0,5561.0,1112.0,1142.0,2254.0,772.0,787.0,1559.0,2.0,3.0,5.0,713.0,643.0,1356.0,2182.0,2043.0,4225.0,417.0,411.0,828.0,450.0,461.0,911.0,7325.0,2.0,3.0,5.0,689.0,630.0,1319.0,2189.0,2138.0,4327.0,418.0,415.0,833.0,440.0,444.0,884.0,20.0,69.0,89.0,5164.0,5727.0,10891.0,775.0,793.0,1568.0,471.0,236037.14,501.1404246,0.6121,0.0,2020,31.033251800966575,501.14042462845015
Ankole,Mbarara District,2.0,1.0,3.0,1178.0,967.0,2145.0,2484.0,1787.0,4271.0,664.0,633.0,1297.0,690.0,707.0,1397.0,1.0,0.0,1.0,954.0,809.0,1763.0,2102.0,1471.0,3573.0,573.0,586.0,1159.0,528.0,510.0,1038.0,7534.0,1.0,0.0,1.0,939.0,796.0,1735.0,2081.0,1465.0,3546.0,567.0,585.0,1152.0,515.0,502.0,1017.0,47.0,137.0,184.0,4328.0,4095.0,8423.0,692.0,708.0,1400.0,773.0,162157.1966,209.7764509,0.6121,30.6373,2020,46.461089350134955,209.77645097024578
Ankole,Mitooma District,2.0,7.0,9.0,5616.0,4439.0,10055.0,9057.0,4499.0,13556.0,2560.0,2149.0,4709.0,2356.0,1923.0,4279.0,0.0,4.0,4.0,4907.0,3860.0,8767.0,7385.0,3836.0,11221.0,1946.0,1619.0,3565.0,2215.0,1890.0,4105.0,27662.0,0.0,4.0,4.0,5270.0,4175.0,9445.0,8170.0,4138.0,12308.0,2102.0,1722.0,3824.0,2382.0,2032.0,4414.0,72.0,280.0,352.0,17235.0,13017.0,30252.0,2358.0,1930.0,4288.0,544.0,207910.702,382.1887905,0.6193,30.0203,2020,133.04750421168796,382.1887904411765
North Central,Mityana District,30.0,32.0,62.0,17133.0,14769.0,31902.0,28011.0,19051.0,47062.0,10228.0,9344.0,19572.0,10649.0,10329.0,20978.0,26.0,24.0,50.0,15935.0,13591.0,29526.0,25997.0,17539.0,43536.0,11293.0,9680.0,20973.0,9415.0,8678.0,18093.0,112178.0,31.0,24.0,55.0,16473.0,13899.0,30372.0,26627.0,17819.0,44446.0,10220.0,9801.0,20021.0,9761.0,8877.0,18638.0,484.0,2055.0,2539.0,55402.0,53525.0,108927.0,10679.0,10361.0,21040.0,1525.0,373992.6004,245.2410495,0.4016,32.044,2020,299.94711093219803,245.24104944262294
Karamoja,Moroto District,19.0,23.0,42.0,6216.0,3997.0,10213.0,8824.0,4782.0,13606.0,4005.0,3320.0,7325.0,12157.0,11526.0,23683.0,13.0,20.0,33.0,5878.0,3805.0,9683.0,7562.0,4314.0,11876.0,11590.0,11011.0,22601.0,3823.0,3165.0,6988.0,51181.0,13.0,19.0,32.0,5814.0,3741.0,9555.0,7440.0,4255.0,11695.0,11458.0,10916.0,22374.0,3727.0,3109.0,6836.0,114.0,623.0,737.0,19064.0,23648.0,42712.0,12176.0,11549.0,23725.0,3533.0,103556.1503,29.31110963,2.7495,34.5971,2020,494.2342859572292,29.311109623549388
West Nile,Moyo District,23.0,28.0,51.0,25142.0,19355.0,44497.0,21941.0,10320.0,32261.0,16269.0,13859.0,30128.0,16592.0,16581.0,33173.0,23.0,25.0,48.0,24192.0,18815.0,43007.0,19710.0,9666.0,29376.0,16132.0,16065.0,32197.0,15860.0,13543.0,29403.0,134031.0,23.0,33.0,56.0,23904.0,18650.0,42554.0,19465.0,9576.0,29041.0,15923.0,15848.0,31771.0,15682.0,13376.0,29058.0,355.0,844.0,1199.0,63375.0,60143.0,123518.0,16615.0,16609.0,33224.0,1072.0,103905.7438,96.92699978,3.636,31.7651,2020,1289.9286901596677,96.92699981343283
South Central,Mpigi District,11.0,10.0,21.0,5337.0,5224.0,10561.0,9303.0,7353.0,16656.0,2944.0,2903.0,5847.0,3228.0,2971.0,6199.0,17.0,10.0,27.0,5134.0,5077.0,10211.0,8968.0,6885.0,15853.0,2958.0,2869.0,5827.0,2851.0,2836.0,5687.0,37605.0,9.0,9.0,18.0,4801.0,4803.0,9604.0,8384.0,6344.0,14728.0,2783.0,2689.0,5472.0,2646.0,2687.0,5333.0,134.0,641.0,775.0,17595.0,18461.0,36056.0,3239.0,2981.0,6220.0,1204.0,293790.5895,244.0121175,0.2274,32.3249,2020,127.99933470980015,244.01211752491693
North Central,Mubende District,64.0,71.0,135.0,23725.0,16385.0,40110.0,33131.0,20244.0,53375.0,13555.0,11285.0,24840.0,12994.0,11355.0,24349.0,61.0,71.0,132.0,22957.0,16037.0,38994.0,31765.0,19286.0,51051.0,12477.0,10892.0,23369.0,12999.0,10890.0,23889.0,137435.0,62.0,70.0,132.0,23041.0,16023.0,39064.0,31981.0,19161.0,51142.0,12549.0,11006.0,23555.0,13089.0,10956.0,24045.0,839.0,2165.0,3004.0,70475.0,59340.0,129815.0,13058.0,11426.0,24484.0,2711.0,475233.8295,175.298351,0.449,31.3542,2020,289.1944795777633,175.29835097749907
North Central,Mukono District,78.0,47.0,125.0,22158.0,17552.0,39710.0,36484.0,22815.0,59299.0,14305.0,12628.0,26933.0,14784.0,14401.0,29185.0,55.0,30.0,85.0,20927.0,16790.0,37717.0,33378.0,20892.0,54270.0,13861.0,13508.0,27369.0,13596.0,12190.0,25786.0,145227.0,48.0,30.0,78.0,20543.0,16459.0,37002.0,32703.0,20532.0,53235.0,13579.0,13226.0,26805.0,13372.0,11864.0,25236.0,806.0,2594.0,3400.0,73025.0,67443.0,140468.0,14862.0,14448.0,29310.0,1831.0,778403.7886,425.1249528,0.2835,0.0,2020,186.57026356616066,425.12495281267064
Karamoja,Nabilatuk District,8.0,5.0,13.0,3402.0,1627.0,5029.0,5129.0,1684.0,6813.0,2804.0,1967.0,4771.0,9987.0,9362.0,19349.0,7.0,5.0,12.0,3377.0,1617.0,4994.0,5042.0,1593.0,6635.0,9933.0,9147.0,19080.0,2792.0,1959.0,4751.0,35472.0,7.0,5.0,12.0,3267.0,1581.0,4848.0,4910.0,1564.0,6474.0,9666.0,8954.0,18620.0,2736.0,1917.0,4653.0,169.0,543.0,712.0,11343.0,14645.0,25988.0,9995.0,9367.0,19362.0,1561.0,103673.6483,66.4148932,2.091,34.5971,2020,342.15059064338914,66.41489320948111
Karamoja,Nakapiripirit District,35.0,25.0,60.0,6079.0,4496.0,10575.0,10380.0,7485.0,17865.0,5035.0,4258.0,9293.0,13258.0,13250.0,26508.0,9.0,6.0,15.0,4732.0,3472.0,8204.0,7217.0,5743.0,12960.0,11235.0,11341.0,22576.0,4069.0,3557.0,7626.0,51381.0,7.0,4.0,11.0,4891.0,3553.0,8444.0,7802.0,5916.0,13718.0,11577.0,11568.0,23145.0,4184.0,3611.0,7795.0,480.0,665.0,1145.0,21529.0,29514.0,51043.0,13293.0,13275.0,26568.0,2641.0,101656.3411,38.49160964,1.7013,34.5971,2020,505.43821904288467,38.49160965543355
North Central,Nakaseke District,25.0,12.0,37.0,10614.0,9535.0,20149.0,16081.0,15866.0,31947.0,7304.0,6610.0,13914.0,6846.0,6510.0,13356.0,22.0,71.0,93.0,10007.0,9049.0,19056.0,14806.0,12714.0,27520.0,6174.0,5883.0,12057.0,6947.0,6239.0,13186.0,71912.0,22.0,7.0,29.0,9612.0,9139.0,18751.0,14840.0,13114.0,27954.0,9856.0,5623.0,15479.0,6686.0,6047.0,12733.0,185.0,685.0,870.0,34024.0,38533.0,72557.0,6871.0,6522.0,13393.0,3475.0,228208.6952,65.67156697,1.2231,32.0837,2020,315.115074546029,65.67156696402877
North Central,Nakasongola District,53.0,30.0,83.0,19669.0,15399.0,35068.0,21313.0,15301.0,36614.0,15438.0,13886.0,29324.0,16932.0,15985.0,32917.0,42.0,19.0,61.0,18593.0,14516.0,33109.0,19834.0,14122.0,33956.0,15786.0,14979.0,30765.0,14490.0,12987.0,27477.0,125368.0,41.0,17.0,58.0,18421.0,15120.0,33541.0,19662.0,13384.0,33046.0,15669.0,15944.0,31613.0,14394.0,12877.0,27271.0,466.0,1576.0,2042.0,56473.0,60601.0,117074.0,16985.0,16015.0,33000.0,3314.0,207196.8482,62.52168021,1.349,32.4467,2020,605.0671189698145,62.52168020519011
Busoga,Namayingo District,131.0,48.0,179.0,23459.0,14516.0,37975.0,39489.0,20646.0,60135.0,16534.0,13286.0,29820.0,23114.0,20501.0,43615.0,114.0,35.0,149.0,22846.0,13977.0,36823.0,38237.0,20041.0,58278.0,22513.0,19926.0,42439.0,16056.0,12831.0,28887.0,166576.0,110.0,33.0,143.0,22578.0,13848.0,36426.0,37840.0,19717.0,57557.0,22208.0,19629.0,41837.0,15895.0,12699.0,28594.0,1399.0,3138.0,4537.0,79613.0,68997.0,148610.0,23245.0,20549.0,43794.0,587.0,244885.12,417.1807836,0.3426,33.8411,2020,680.2209950527006,417.1807836456559
Bugisu,Namisindwa District,2.0,0.0,2.0,4940.0,2859.0,7799.0,10853.0,5721.0,16574.0,2522.0,1754.0,4276.0,3770.0,3367.0,7137.0,0.0,0.0,0.0,4294.0,2520.0,6814.0,8906.0,5015.0,13921.0,3257.0,2894.0,6151.0,2163.0,1578.0,3741.0,30627.0,0.0,0.0,0.0,3979.0,2382.0,6361.0,8414.0,4670.0,13084.0,3105.0,2780.0,5885.0,2016.0,1470.0,3486.0,456.0,517.0,973.0,18317.0,13701.0,32018.0,3772.0,3367.0,7139.0,298.0,234639.7804,787.3818133,0.9054,34.3754,2020,130.52773893578023,787.3818134228187
Busoga,Namutumba District,19.0,20.0,39.0,8098.0,5403.0,13501.0,15929.0,8730.0,24659.0,6800.0,5513.0,12313.0,9838.0,8937.0,18775.0,18.0,20.0,38.0,7680.0,5096.0,12776.0,14650.0,7946.0,22596.0,9238.0,8426.0,17664.0,6189.0,5039.0,11228.0,64302.0,19.0,20.0,39.0,7572.0,5028.0,12600.0,14492.0,7862.0,22354.0,9281.0,8349.0,17630.0,6159.0,4994.0,11153.0,410.0,1166.0,1576.0,30846.0,28603.0,59449.0,9857.0,8957.0,18814.0,812.0,286341.2258,352.6369775,0.8493,33.6623,2020,224.56424086454405,352.6369775862069
Karamoja,Napak District,143.0,123.0,266.0,7995.0,4561.0,12556.0,11243.0,4296.0,15539.0,7906.0,6130.0,14036.0,21839.0,19448.0,41287.0,72.0,40.0,112.0,6960.0,3828.0,10788.0,9240.0,3388.0,12628.0,19169.0,17081.0,36250.0,7033.0,5385.0,12418.0,72196.0,123.0,94.0,217.0,7416.0,4055.0,11471.0,10094.0,3879.0,13973.0,20525.0,18296.0,38821.0,7347.0,5650.0,12997.0,353.0,803.0,1156.0,27287.0,34558.0,61845.0,21982.0,19571.0,41553.0,4822.0,180626.5701,37.45884905,2.4265,34.331,2020,399.6975636531782,37.45884904603899
West Nile,Nebbi District,22.0,11.0,33.0,23765.0,13079.0,36844.0,31240.0,12355.0,43595.0,13397.0,11308.0,24705.0,21306.0,20937.0,42243.0,20.0,10.0,30.0,23238.0,13141.0,36379.0,31108.0,12176.0,43284.0,21259.0,20884.0,42143.0,13254.0,11231.0,24485.0,146321.0,20.0,9.0,29.0,23052.0,13018.0,36070.0,30906.0,12057.0,42963.0,21107.0,20722.0,41829.0,13121.0,11113.0,24234.0,1514.0,2979.0,4493.0,68424.0,57690.0,126114.0,21328.0,20948.0,42276.0,987.0,273483.9112,277.0860296,2.4104,31.2168,2020,535.0259887609799,277.08602958459977
Teso,Ngora District,7.0,14.0,21.0,18068.0,9328.0,27396.0,23049.0,8046.0,31095.0,8820.0,6363.0,15183.0,8655.0,7441.0,16096.0,5.0,7.0,12.0,17897.0,9294.0,27191.0,22837.0,7747.0,30584.0,8369.0,7286.0,15655.0,8684.0,6239.0,14923.0,88365.0,4.0,6.0,10.0,16765.0,8531.0,25296.0,21182.0,7318.0,28500.0,7861.0,6853.0,14714.0,8136.0,5777.0,13913.0,1521.0,3020.0,4541.0,49944.0,31192.0,81136.0,8662.0,7455.0,16117.0,640.0,181464.9711,283.5390173,1.4908,33.7518,2020,486.953484544985,283.53901734375
North Central,North Central,482.0,359.0,841.0,199780.0,152399.0,352179.0,286140.0,187226.0,473366.0,131859.0,114598.0,246457.0,142740.0,133948.0,276688.0,379.0,352.0,731.0,189596.0,148570.0,338166.0,264751.0,171739.0,436490.0,136091.0,126596.0,262687.0,125750.0,109519.0,235269.0,1273343.0,415.0,278.0,693.0,187434.0,144617.0,332051.0,260925.0,169809.0,430734.0,136674.0,125574.0,262248.0,124430.0,108064.0,232494.0,8642.0,21098.0,29740.0,618261.0,588530.0,1206791.0,143222.0,134307.0,277529.0,0.0,0.0,0.0,0.0,0.0,2020,0.0,0.0
Tooro,Ntoroko District,11.0,0.0,11.0,970.0,665.0,1635.0,1349.0,918.0,2267.0,574.0,443.0,1017.0,512.0,548.0,1060.0,11.0,0.0,11.0,946.0,656.0,1602.0,1336.0,892.0,2228.0,502.0,536.0,1038.0,567.0,441.0,1008.0,5887.0,11.0,0.0,11.0,944.0,657.0,1601.0,1317.0,875.0,2192.0,498.0,534.0,1032.0,564.0,440.0,1004.0,50.0,85.0,135.0,2904.0,2574.0,5478.0,523.0,548.0,1071.0,1236.0,92584.78757,74.90678606,1.0125,30.3897,2020,63.58495984612,74.90678605987056
Ankole,Ntungamo District,23.0,23.0,46.0,7371.0,6244.0,13615.0,12862.0,8564.0,21426.0,2968.0,2512.0,5480.0,2263.0,2141.0,4404.0,22.0,20.0,42.0,6831.0,5857.0,12688.0,11468.0,7491.0,18959.0,1962.0,1864.0,3826.0,2687.0,2298.0,4985.0,40500.0,22.0,20.0,42.0,6767.0,5827.0,12594.0,11703.0,7943.0,19646.0,1987.0,1933.0,3920.0,2630.0,2310.0,4940.0,142.0,517.0,659.0,23224.0,19484.0,42708.0,2286.0,2164.0,4450.0,1999.0,524101.3617,262.1817718,0.9807,30.2513,2020,77.27512836187313,262.1817717358679
